Date,Close,High,Low,Open,Volume
1995-10-16,34.5472412109375,34.67677023529559,34.5472412109375,34.612005723116546,443600
1995-10-17,34.77854919433594,34.81555749355843,34.5194910997785,34.58425562341786,146000
1995-10-18,34.88032150268555,34.991346398715315,34.76929660665578,34.94508602536958,228100
1995-10-19,35.04686737060547,35.04686737060547,34.81556544762101,34.8618258322179,500600
1995-10-20,34.834068298339844,35.04686605952492,34.834068298339844,35.019109829805124,748400
1995-10-23,34.76005554199219,34.824820085189934,34.6675347659954,34.6675347659954,533000
1995-10-24,34.797054290771484,34.84331466605834,34.71378561525515,34.80630636582885,172200
1995-10-25,34.51023483276367,34.87106570635021,34.51023483276367,34.824805337941676,302700
1995-10-26,34.19567108154297,34.59351032843321,33.9181088162707,34.56575410190599,606800
1995-10-27,34.4547233581543,34.4547233581543,34.00137173502069,34.15865699202622,905800
1995-10-30,34.67677688598633,34.69528103587213,34.537995761842836,34.537995761842836,488700
1995-10-31,34.528751373291016,34.84332199137566,34.528751373291016,34.76930537535575,508200
1995-11-01,34.80630874633789,34.80630874633789,34.4824860971827,34.51024232425315,415700
1995-11-02,35.02835464477539,35.02835464477539,34.7507924051179,34.7507924051179,326000
1995-11-03,35.07462692260742,35.08387900040289,34.97285406685731,35.07462692260742,615000
1995-11-06,34.95433044433594,35.06535531604902,34.94507837169318,35.06535531604902,311200
1995-11-07,34.82480239868164,34.93582727349147,34.71377752387182,34.93582727349147,358200
1995-11-08,35.13939666748047,35.15790082580984,34.87108637170455,34.87108637170455,357200
1995-11-09,35.26891326904297,35.27816534492677,35.10237590313458,35.27816534492677,503700
1995-11-10,35.25041961669922,35.29668000989699,35.06537804390815,35.0746301225477,795600
1995-11-13,35.213409423828125,35.32443436158061,35.120888642367724,35.18565318939001,818500
1995-11-14,34.98210525512695,35.22265927169222,34.98210525512695,35.1486426512106,341800
1995-11-15,35.333675384521484,35.34292745977273,35.000600675476505,35.01910482597901,584700
1995-11-16,35.527957916259766,35.564966205755866,35.324412324031194,35.33366439640522,577700
1995-11-17,35.63899230957031,35.64824438441703,35.537219486256376,35.58347986048999,267000
1995-11-20,35.45395278930664,35.703758824095594,35.44470071394409,35.69450674873304,448800
1995-11-21,35.74076843261719,35.74076843261719,35.481710312991694,35.4909623886926,119200
1995-11-22,35.62972640991211,35.75000333625043,35.62972640991211,35.71299505122325,351600
1995-11-24,35.7222785949707,35.7222785949707,35.63900988029711,35.66676611852164,62400
1995-11-27,35.73152542114258,35.90731490405343,35.73152542114258,35.79628996747815,273000
1995-11-28,36.11083221435547,36.11083221435547,35.62047246355843,35.703741100486226,479000
1995-11-29,36.14786911010742,36.175625344387,36.0275920948959,36.175625344387,549200
1995-11-30,36.06460189819336,36.24039138923125,36.02759358429065,36.14787060447446,286200
