Date,Close,High,Low,Open,Volume,EMA_9,EMA_20,Long_Signal,Short_Signal,Account_Value,Buy_and_Hold_Account_Value,Strategy_Cum_Return,Buy_Hold_Cum_Return,Strategy_Daily_Return,Buy_Hold_Daily_Return,Strategy_Volatility,Buy_Hold_Volatility,Strategy_Sharpe,Buy_Hold_Sharpe,Strategy_Rolling_Sharpe,Buy_Hold_Rolling_Sharpe,Strategy_Cum_Max,Buy_Hold_Cum_Max,Strategy_Drawdown,Buy_Hold_Drawdown,EMA_Gap,EMA_Gap_Pct
1995-10-16,34.5472412109375,34.67677023529559,34.5472412109375,34.612005723116546,443600,,,0,0,100000.0,99979.71606445312,0.0,0.0,,,,,-0.6061022298335836,0.3568908055964926,,,100000.0,99979.71606445312,0.0,0.0,,
1995-10-17,34.77854919433594,34.81555749355843,34.5194910997785,34.58425562341786,146000,,,0,0,100000.0,100649.1213684082,0.0,0.0066954111324295,0.0,0.0066954111324295,,,-0.6061022298335836,0.3568908055964926,,,100000.0,100649.1213684082,0.0,0.0,,
1995-10-18,34.88032150268555,34.991346398715315,34.76929660665578,34.94508602536958,228100,,,0,0,100000.0,100943.65042877196,0.0,0.0096412992781198,0.0,0.0029262953949265,,,-0.6061022298335836,0.3568908055964926,,,100000.0,100943.65042877196,0.0,0.0,,
1995-10-19,35.04686737060547,35.04686737060547,34.81556544762101,34.8618258322179,500600,,,0,0,100000.0,101425.63417053224,0.0,0.0144621145467844,0.0,0.0047747801839239,,,-0.6061022298335836,0.3568908055964926,,,100000.0,101425.63417053224,0.0,0.0,,
1995-10-20,34.834068298339844,35.04686605952492,34.834068298339844,35.019109829805124,748400,,,0,0,100000.0,100809.79365539552,0.0,0.008302459975054,0.0,-0.0060718428844257,,,-0.6061022298335836,0.3568908055964926,,,100000.0,101425.63417053224,0.0,-0.0060718428844257,,
1995-10-23,34.76005554199219,34.824820085189934,34.6675347659954,34.6675347659954,533000,,,0,0,100000.0,100595.6007385254,0.0,0.0061600962506758,0.0,-0.0021247232942694,,,-0.6061022298335836,0.3568908055964926,,,100000.0,101425.63417053224,0.0,-0.0081836651926795,,
1995-10-24,34.797054290771484,34.84331466605834,34.71378561525515,34.80630636582885,172200,,,0,0,100000.0,100702.67511749268,0.0,0.0072310572733922,0.0,0.0010644041904535,,,-0.6061022298335836,0.3568908055964926,,,100000.0,101425.63417053224,0.0,-0.0071279717297503,,
1995-10-25,34.51023483276367,34.87106570635021,34.51023483276367,34.82480533794168,302700,,,0,0,100000.0,99872.61960601808,0.0,-0.0010711818621891,0.0,-0.0082426361614144,,,-0.6061022298335836,0.3568908055964926,,,100000.0,101425.63417053224,0.0,-0.0153118546136275,,
1995-10-26,34.19567108154297,34.59351032843321,33.9181088162707,34.56575410190599,606800,34.60817956126954,,0,0,100000.0,98962.27210998537,0.0,-0.0101765037401373,0.0,-0.0091150857925214,,,-0.6061022298335836,0.3568908055964926,,,100000.0,101425.63417053224,0.0,-0.0242873715377031,,
1995-10-27,34.4547233581543,34.4547233581543,34.00137173502069,34.15865699202622,905800,34.577488320646495,,0,0,100000.0,99711.96939849854,0.0,-0.0026780098653409,0.0,0.0075755868628397,,,-0.6061022298335836,0.3568908055964926,,,100000.0,101425.63417053224,0.0,-0.0168957757676172,,
