Date,Close,High,Low,Open,Volume,EMA_9,EMA_20,Long_Signal,Short_Signal,Account_Value,Buy_and_Hold_Account_Value,Strategy_Cum_Return,Buy_Hold_Cum_Return,Strategy_Daily_Return,Buy_Hold_Daily_Return,Strategy_Volatility,Buy_Hold_Volatility,Strategy_Sharpe,Buy_Hold_Sharpe,Strategy_Rolling_Sharpe,Buy_Hold_Rolling_Sharpe,Strategy_Cum_Max,Buy_Hold_Cum_Max,Strategy_Drawdown,Buy_Hold_Drawdown
1995-10-16,34.5472412109375,34.67677023529559,34.5472412109375,34.612005723116546,443600,,,0,0,100000.0,99979.71606445312,0.0,0.0,,,,,-0.6061022298335836,0.35689080559649267,,,100000.0,99979.71606445312,0.0,0.0
1995-10-17,34.77854919433594,34.81555749355843,34.5194910997785,34.58425562341786,146000,,,0,0,100000.0,100649.1213684082,0.0,0.006695411132429552,0.0,0.006695411132429552,,,-0.6061022298335836,0.35689080559649267,,,100000.0,100649.1213684082,0.0,0.0
1995-10-18,34.88032150268555,34.991346398715315,34.76929660665578,34.94508602536958,228100,,,0,0,100000.0,100943.65042877197,0.0,0.009641299278119853,0.0,0.0029262953949265036,,,-0.6061022298335836,0.35689080559649267,,,100000.0,100943.65042877197,0.0,0.0
1995-10-19,35.04686737060547,35.04686737060547,34.81556544762101,34.8618258322179,500600,,,0,0,100000.0,101425.63417053223,0.0,0.014462114546784477,0.0,0.004774780183923966,,,-0.6061022298335836,0.35689080559649267,,,100000.0,101425.63417053223,0.0,0.0
1995-10-20,34.834068298339844,35.04686605952492,34.834068298339844,35.019109829805124,748400,,,0,0,100000.0,100809.79365539551,0.0,0.008302459975054077,0.0,-0.006071842884425749,,,-0.6061022298335836,0.35689080559649267,,,100000.0,101425.63417053223,0.0,-0.006071842884425784
1995-10-23,34.76005554199219,34.824820085189934,34.6675347659954,34.6675347659954,533000,,,0,0,100000.0,100595.60073852539,0.0,0.006160096250675817,0.0,-0.0021247232942694927,,,-0.6061022298335836,0.35689080559649267,,,100000.0,101425.63417053223,0.0,-0.008183665192679568
1995-10-24,34.797054290771484,34.84331466605834,34.71378561525515,34.80630636582885,172200,,,0,0,100000.0,100702.67511749268,0.0,0.0072310572733922385,0.0,0.001064404190453505,,,-0.6061022298335836,0.35689080559649267,,,100000.0,101425.63417053223,0.0,-0.00712797172975031
1995-10-25,34.51023483276367,34.87106570635021,34.51023483276367,34.82480533794168,302700,,,0,0,100000.0,99872.61960601807,0.0,-0.00107118186218913,0.0,-0.008242636161414407,,,-0.6061022298335836,0.35689080559649267,,,100000.0,101425.63417053223,0.0,-0.015311854613627513
1995-10-26,34.19567108154297,34.59351032843321,33.9181088162707,34.56575410190599,606800,34.60817956126954,,0,0,100000.0,98962.27210998535,0.0,-0.010176503740137344,0.0,-0.009115085792521405,,,-0.6061022298335836,0.35689080559649267,,,100000.0,101425.63417053223,0.0,-0.024287371537703138
1995-10-27,34.4547233581543,34.4547233581543,34.00137173502069,34.15865699202622,905800,34.577488320646495,,0,0,100000.0,99711.96939849854,0.0,-0.0026780098653409468,0.0,0.007575586862839767,,,-0.6061022298335836,0.35689080559649267,,,100000.0,101425.63417053223,0.0,-0.01689577576761726
